"H","rho","sigma","est_H_adapted_power","est_rho_adapted_power","est_sigma_adapted_power","est_H_single_power","est_rho_single_power","est_sigma_single_power","est_H_adapted_triangle","est_rho_adapted_triangle","est_sigma_adapted_triangle","est_H_single_triangle","est_rho_single_triangle","est_sigma_single_triangle","est_H_adapted_power_optimal_k","est_rho_adapted_power_optimal_k","est_sigma_adapted_power_optimal_k","est_H_single_power_optimal_k","est_rho_single_power_optimal_k","est_sigma_single_power_optimal_k","est_H_adapted_triangle_optimal_k","est_rho_adapted_triangle_optimal_k","est_sigma_adapted_triangle_optimal_k","est_H_single_triangle_optimal_k","est_rho_single_triangle_optimal_k","est_sigma_single_triangle_optimal_k"
0.33,0.1,1,0.320580741247815,0.119761450570162,17.8155474618546,0.312794236357669,0.119761450570162,16.0195834320977,0.325595090443558,0.119761450570162,19.1748851410625,0.311284946734293,0.119761450570162,15.6162822379677,0.321128202597477,0.119761450570162,20.4448997522761,0.321128202597477,0.119761450570162,20.4448997522761,0.320840999169221,0.119761450570162,20.4508484337777,0.320840999169221,0.119761450570162,20.4508484337777
0.33,0.1,1,0.329852551753253,0.120587479887168,19.8706068137862,0.327860349466757,0.120587479887168,19.3116281251858,0.3352149153405,0.120587479887168,21.3587010627951,0.329173504387311,0.120587479887168,19.624392428334,0.33603334375304,0.120587479887168,19.8590713893774,0.33603334375304,0.120587479887168,19.8590713893774,0.338357652529021,0.120587479887168,19.8162709312562,0.338357652529021,0.120587479887168,19.8162709312562
0.33,0.1,1,0.330017765848398,0.119944381247007,20.2554943520659,0.335167423587716,0.119944381247007,21.7740740852354,0.334670686260506,0.119944381247007,21.555238813819,0.322092476269282,0.119944381247007,18.1578312719451,0.334378595426098,0.119944381247007,20.2256613177752,0.334378595426098,0.119944381247007,20.2256613177752,0.336221213800265,0.119944381247007,20.2068645512063,0.336221213800265,0.119944381247007,20.2068645512063
0.33,0.1,1,0.357437895949737,0.119652293067385,31.1171298586836,0.357437895949737,0.119652293067385,31.1171298586836,0.3599223529324,0.119652293067385,32.2284989758816,0.3599223529324,0.119652293067385,32.2284989758816,0.354374333741066,0.119652293067385,21.1829240343879,0.354374333741066,0.119652293067385,21.1829240343879,0.355671500898633,0.119652293067385,21.1800151785026,0.355671500898633,0.119652293067385,21.1800151785026
0.33,0.1,1,0.338441200174171,0.120096092536374,23.0246410387128,0.338441200174171,0.120096092536374,23.0246410387128,0.335989292919724,0.120096092536374,22.1706618549508,0.335989292919724,0.120096092536374,22.1706618549508,0.336378282408042,0.120096092536374,20.455692431804,0.336378282408042,0.120096092536374,20.455692431804,0.337633304176259,0.120096092536374,20.43888973927,0.337633304176259,0.120096092536374,20.43888973927
0.33,0.1,1,0.330380428641217,0.120091179814161,21.1700479504846,0.316657528354167,0.120091179814161,17.4577509390657,0.336277227945758,0.120091179814161,23.0339280136057,0.33009427202977,0.120091179814161,21.1304527707061,0.335736855458934,0.120091179814161,21.067755422655,0.335736855458934,0.120091179814161,21.067755422655,0.336239037660736,0.120091179814161,21.0601416823059,0.336239037660736,0.120091179814161,21.0601416823059
0.33,0.1,1,0.350537247460601,0.119583697537705,28.3369583840251,0.350537247460601,0.119583697537705,28.3369583840251,0.352147395168745,0.119583697537705,28.9890511691911,0.352147395168745,0.119583697537705,28.9890511691911,0.340523892027365,0.119583697537705,21.3582253791588,0.340523892027365,0.119583697537705,21.3582253791588,0.344154521068094,0.119583697537705,21.3112645680465,0.344154521068094,0.119583697537705,21.3112645680465
0.33,0.1,1,0.351677069796897,0.119726159410897,27.9703726693076,0.339942578378118,0.119726159410897,23.7300266282293,0.354390328990927,0.119726159410897,29.073478989467,0.338042331475318,0.119726159410897,23.1418709409259,0.357235653283385,0.119726159410897,20.5263523204193,0.357235653283385,0.119726159410897,20.5263523204193,0.355966386657395,0.119726159410897,20.5517921199439,0.355966386657395,0.119726159410897,20.5517921199439
0.33,0.1,1,0.309523090778827,0.119847179948914,15.212483989389,0.320901269462051,0.119847179948914,17.8588782462626,0.311757132464981,0.119847179948914,15.6970751647607,0.321788840430196,0.119847179948914,17.9531623121054,0.313297964916871,0.119847179948914,20.3191119236196,0.313297964916871,0.119847179948914,20.3191119236196,0.315800439761069,0.119847179948914,20.2690659382691,0.315800439761069,0.119847179948914,20.2690659382691
0.33,0.1,1,0.303045531896305,0.11945858503965,13.3896788486278,0.303045531896305,0.11945858503965,13.3896788486278,0.31088845031363,0.11945858503965,14.910357479193,0.31088845031363,0.11945858503965,14.910357479193,0.319526036808895,0.11945858503965,19.5307869081972,0.319526036808895,0.11945858503965,19.5307869081972,0.320460145732999,0.11945858503965,19.5113428601059,0.320460145732999,0.11945858503965,19.5113428601059
